,Rank_GrossEarning,Username,channel_id,GrossEarning,Tables,followers_gain,last_streamed_game,channel_country,stream_language,partnership_status,channel_type,hours_watched,airtime_in_m,platform,channel_name,peak_viewers,average_viewers,live_views
0,2.0,xQcOW,71092938.0,8454427.17,5,36001,Overwatch 2,CA,en,partner,Male,2602644,32.6,twitch,xqc,113230,79877,6783454.0
1,3.0,summit1g,26490481.0,5847541.17,20,7470,Overwatch 2,US,en,partner,Male,1367867,78.7,twitch,summit1g,33125,17389,3624087.0
2,4.0,Tfue,60056333.0,5295582.44,61,12567,Fortnite,US,en,partner,Male,564574,48.1,twitch,tfue,27587,11742,2594851.0
3,5.0,NICKMERCS,15564828.0,5096642.12,69,2919,Apex Legends,US,en,partner,Male,490499,25.8,twitch,nickmercs,30581,19050,1587806.0
5,10.0,LIRIK,23161357.0,2984653.7,38,2544,Overwatch 2,US,en,partner,Male,788354,38.4,twitch,lirik,35640,20522,2000710.0
7,13.0,HasanAbi,207813352.0,2810480.11,18,11240,Just Chatting,US,en,partner,Male,1433332,46.5,twitch,hasanabi,76110,30825,4499230.0
8,15.0,loltyler1,51496027.0,2490584.9,34,5293,League of Legends,US,en,partner,Male,829308,57.9,twitch,loltyler1,22838,14320,2255017.0
10,19.0,Castro_1021,52091823.0,2311021.81,27,11327,FIFA 23,US,en,partner,Male,944230,40.6,twitch,castro_1021,42219,23267,3019560.0
11,20.0,MOONMOON,121059319.0,2236043.55,64,1066,Terraria,US,en,partner,Male,535550,43.2,twitch,moonmoon,17481,12384,963993.0
12,22.0,moistcr1tikal,132230344.0,2098742.63,65,21295,Overwatch 2,US,en,partner,Male,529305,40.7,twitch,moistcr1tikal,31292,13017,1150669.0
13,23.0,Mizkif,94753024.0,2086548.21,33,-18960,Just Chatting,US,en,partner,Male,865194,28.2,twitch,mizkif,73610,30627,4013230.0
14,24.0,CohhCarnage,26610234.0,2061059.29,80,297,Scorn,US,en,partner,Male,439814,48.4,twitch,cohhcarnage,33955,9084,480683.0
15,25.0,shroud,37402112.0,2040503.15,22,18299,Overwatch 2,CA,en,partner,Male,1153557,49.9,twitch,shroud,62402,23111,4186669.0
16,32.0,AdinRoss,59299632.0,1854656.42,14,58049,Just Chatting,US,en,partner,Male,1599945,23.7,twitch,adinross,129020,67604,5646817.0
19,38.0,Trainwreckstv,71190292.0,1572912.37,19,7825,Slots,US,en,partner,Male,1420681,67.1,twitch,trainwreckstv,37084,21179,3299064.0
20,43.0,sodapoppin,26301881.0,1461302.14,81,932,World of Warcraft,US,en,partner,Male,439223,26.1,twitch,sodapoppin,26436,16840,1138474.0
21,48.0,Amouranth,125387632.0,1363346.32,51,13213,Just Chatting,US,en,partner,Female,621448,65.1,twitch,amouranth,17366,9550,2696841.0
30,113.0,Quin69,56649026.0,825664.85,52,1407,Terraria,NZ,en,partner,Male,604897,54.1,twitch,quin69,16695,11185,1005812.0
31,118.0,forsen,22484632.0,806443.92,99,498,Terraria,SE,en,partner,Male,371915,36.2,twitch,forsen,19641,10284,848414.0
35,374.0,Chap,192678094.0,403384.61,54,781,The Cycle: Frontier,US,en,partner,Male,604165,167.5,twitch,chap,6480,3608,349905.0
